id	success.1	fail.1	success.2	fail.2
1000001	13	3	5	11
1000002	4	12	2	14
1000003	16	0	11	5
1000004	9	7	7	9
1000005	11	5	4	12
1000006	8	8	0	16
1000007	10	6	3	13
1000008	13	3	7	9
1000009	1	15	0	16
1000010	13	3	5	11
1000011	11	5	3	13
1000012	14	2	1	15
1000013	15	1	15	1
1000014	6	10	1	15
1000015	13	3	12	4
1000016	5	11	2	14
1000017	14	2	3	13
1000018	10	6	4	12
1000019	5	11	3	13
1000020	15	1	8	8
1000021	9	7	8	8
1000022	10	6	4	12
1000023	11	5	1	15
1000024	6	10	1	15
1000025	8	8	0	16
1000026	9	7	6	10
1000027	11	5	1	15
1000028	12	4	2	14
1000029	9	7	3	13
1000030	12	4	1	15
1000031	7	9	0	16
1000032	12	4	5	11
1000033	8	8	6	10
1000034	13	3	4	12
1000035	16	0	2	14
1000036	11	5	7	9
1000037	12	4	10	6
1000038	14	2	11	5
1000039	16	0	10	6
1000040	11	5	4	12
1000041	14	2	2	14
1000042	2	14	3	13
1000043	15	1	9	7
1000044	6	10	0	16
1000045	14	2	10	6
1000046	6	10	4	12
1000047	9	7	5	11
1000048	6	10	1	15
1000049	16	0	2	14
1000050	9	7	0	16
1000051	12	4	4	12
1000052	12	4	11	5
1000053	11	5	1	15
1000054	14	2	10	6
1000055	4	12	2	14
1000056	13	3	6	10
1000057	16	0	13	3
1000058	11	5	9	7
1000059	8	8	0	16
1000060	9	7	0	16
1000061	8	8	5	11
1000062	9	7	0	16
1000063	3	13	1	15
1000064	6	10	1	15
1000065	12	4	8	8
1000066	14	2	4	12
